state,Donald Trump,JD Vance,Joe Biden,Kamala Harris,mean_diff,winner,electoral_votes,win_probability_harris
Alaska,50.0,,,42.55,-7.450000000000003,Donald Trump,,0.006507961347352607
Arizona,46.09697777777778,,,46.34453333333333,0.2475555555555502,Kamala Harris,11.0,0.5328828035474695
Arkansas,55.0,,,40.0,-15.0,Donald Trump,,2.8665157187919344e-07
California,35.7125,,51.5,59.85,24.137500000000003,Kamala Harris,,0.9999999999999996
Colorado,40.08,,,54.8,14.719999999999999,Kamala Harris,,0.9999995368136368
Florida,49.58444444444444,,,44.71944444444445,-4.864999999999995,Donald Trump,,0.0524373698580889
Georgia,47.595179487179486,,,46.67671794871795,-0.9184615384615356,Donald Trump,16.0,0.3797437557933342
Illinois,42.2,,,57.8,15.599999999999994,Kamala Harris,,0.9999999003557368
Indiana,52.0,,,42.0,-10.0,Donald Trump,,0.00042906033319683724
Iowa,47.0,,,43.0,-4.0,Donald Trump,,0.09121121972586788
Maine,41.0,,,53.75,12.75,Kamala Harris,,0.9999893114742251
Maine CD-1,36.0,,,60.5,24.5,Kamala Harris,,0.9999999999999999
Maine CD-2,46.5,,,47.5,1.0,Kamala Harris,,0.6305586598182363
Maryland,32.5325,,,60.3075,27.775,Kamala Harris,,1.0
Michigan,44.922363636363634,,,47.49818181818182,2.5758181818181853,Kamala Harris,15.0,0.8047210533640454
Minnesota,42.235,,,49.59,7.355000000000004,Kamala Harris,,0.9928901840964639
Missouri,55.28333333333333,,,42.71666666666667,-12.566666666666663,Donald Trump,,1.4016180083156674e-05
Montana,55.14,,,39.86,-15.280000000000001,Donald Trump,,1.7591116862380913e-07
Nebraska,53.5,,,39.0,-14.5,Donald Trump,,6.713284558090936e-07
Nebraska CD-2,41.833333333333336,,,48.666666666666664,6.833333333333329,Kamala Harris,,0.9886300895118156
Nevada,44.95367741935484,,,46.661096774193545,1.7074193548387058,Kamala Harris,6.0,0.7153693596202478
New Hampshire,44.2,,,50.71,6.509999999999998,Kamala Harris,,0.9849965770262678
New Mexico,41.08571428571429,,,48.65714285714286,7.571428571428569,Kamala Harris,,0.9941954594266154
New York,39.233333333333334,,,53.43333333333334,14.200000000000003,Kamala Harris,,0.9999988956883555
North Carolina,46.633347826086954,,,47.00291304347826,0.36956521739130466,Kamala Harris,16.0,0.5490210467642522
Ohio,52.403333333333336,,,42.68,-9.723333333333336,Donald Trump,,0.0005953238290912206
Oklahoma,56.0,,,39.9,-16.1,Donald Trump,,4.010254319051425e-08
Oregon,42.0,,,47.0,5.0,Kamala Harris,,0.9522096477271853
Pennsylvania,45.88710769230769,,42.0,47.370825396825396,1.4837177045177086,Kamala Harris,19.0,0.6895490650690135
Tennessee,63.1,,,36.9,-26.200000000000003,Donald Trump,,1.2363748963894752e-18
Texas,50.11363636363637,,,44.81181818181818,-5.301818181818184,Donald Trump,,0.03859128248769751
Utah,55.0,,,26.5,-28.5,Donald Trump,,1.0494515075362604e-21
Vermont,28.0,,,68.5,40.5,Kamala Harris,,1.0
Virginia,41.574,,,48.897000000000006,7.3230000000000075,Kamala Harris,13.0,0.9926766726165729
Washington,38.0,,,52.0,14.0,Kamala Harris,,0.9999984693732634
West Virginia,61.0,,,34.0,-27.0,Donald Trump,,1.1285884059538324e-19
Wisconsin,44.71206896551725,,,48.723965517241375,4.011896551724128,Kamala Harris,10.0,0.9094374469735196
national,44.885886666666664,39.0,46.0,47.79224584717608,2.906359180509419,Kamala Harris,,0.8336741116124236
